#,Pick,Name,Pos,Team,Bye,Overall,StdDev,High,Low,TimesDrafted,Fantasy_yr
252,15.04,Jason Sanders,PK,MIA,11,171.6,14.5,10.1,19.05,464,2022
253,15.04,Marvin Jones,WR,JAX,11,171.7,33.2,5.03,18.05,30,2022
254,15.04,Hassan Haskins,RB,TEN,6,171.9,15.4,12.05,18.04,37,2022
255,15.04,Chris Boswell,PK,PIT,9,172.3,19.7,10.08,18.06,102,2022
256,15.05,Eno Benjamin,RB,FA,12,172.5,25,8.03,18.01,69,2022
257,15.05,Mike Davis,RB,BAL,10,172.6,20.3,11.09,18.03,70,2022
258,15.05,Wan'Dale Robinson,WR,NYG,9,172.9,27,7.01,18.05,68,2022
259,15.05,Wil Lutz,PK,NO,14,173.2,15.1,10.06,18.06,352,2022
260,15.05,Phillip Lindsay,RB,IND,14,173.5,25.7,11.01,18.04,13,2022
261,15.06,Damien Williams,RB,ATL,14,174.2,29.5,1.04,18.06,88,2022
262,15.07,Jeffery Wilson,RB,SF,9,174.6,25,12.03,21.01,28,2022
263,15.07,Jake Elliott,PK,PHI,7,175.1,20.4,10.11,18.05,81,2022
264,15.07,Dustin Hopkins,PK,LAC,8,175.1,14.9,12.08,18.05,364,2022
265,15.07,Greg Joseph,PK,MIN,7,175.2,21,8.12,18.06,62,2022
266,15.07,Robbie Gould,PK,SF,9,175.5,17.8,4.12,18.05,257,2022
267,15.08,Corey Davis,WR,NYJ,10,175.5,23.8,13.02,19.05,10,2022
268,15.08,Greg Dulcich,TE,DEN,9,175.9,3.6,14.09,15.12,16,2022
269,15.08,Sammy Watkins,WR,GB,14,176.3,25.3,7.07,18.06,147,2022
270,15.09,Van Jefferson,WR,LAR,7,176.9,28.4,7.09,18.08,50,2022
271,15.1,Marcus Mariota,QB,ATL,14,177.5,40.4,2.09,20.12,25,2022
272,15.1,Rex Burkhead,RB,HOU,6,177.8,20.8,11.09,18.01,29,2022
273,15.1,Giovani Bernard,RB,TB,11,178.3,37.2,10.12,22.08,11,2022
274,15.11,Jamison Crowder,WR,BUF,7,179.4,23.6,9.09,18.06,39,2022
275,16.12,Boston Scott,RB,PHI,7,191.8,37.7,10.09,24.05,12,2022
